FROM,TO,VEC,TO-FIPS,FROM-FIPS,COUNT
AUBURN CA,STOCKTON CA,AUBURN CA to STOCKTON CA,06077,06061,1
HERMOSA BEACH CA,SAN BERNARDINO CA,HERMOSA BEACH CA to SAN BERNARDINO CA,06071,06037,1
STANISLAUS CO CA,EMERYVILLE CA,STANISLAUS CO CA to EMERYVILLE CA,06001,06099,1
SACRAMENTO CA,HAYWARD CA,SACRAMENTO CA to HAYWARD CA,06001,06067,3
MANTECA CA,SAN MATEO CO CA,MANTECA CA to SAN MATEO CO CA,06081,06077,1
EL CERRITO CA,SACRAMENTO CA,EL CERRITO CA to SACRAMENTO CA,06067,06013,1
MERCED CA,STOCKTON CA,MERCED CA to STOCKTON CA,06077,06047,1
MERCED CO CA,STOCKTON CA,MERCED CO CA to STOCKTON CA,06077,06047,1
TUOLUMNE CO CA,STOCKTON CA,TUOLUMNE CO CA to STOCKTON CA,06077,06109,4
MODESTO CA,SACRAMENTO CA,MODESTO CA to SACRAMENTO CA,06067,06099,1
SACRAMENTO CO CA,HAYWARD CA,SACRAMENTO CO CA to HAYWARD CA,06001,06067,1
TURLOCK CA,CONCORD CA,TURLOCK CA to CONCORD CA,06013,06099,1
OAKLAND CA,STOCKTON CA,OAKLAND CA to STOCKTON CA,06077,06001,1
STOCKTON CA,SAN MATEO CO CA,STOCKTON CA to SAN MATEO CO CA,06081,06077,1
FAIRFAX CA,SONOMA CO CA,FAIRFAX CA to SONOMA CO CA,06097,06041,1
GONZALES CA,SAN JOSE CA,GONZALES CA to SAN JOSE CA,06085,06053,1
SACRAMENTO CO CA,ALAMEDA CA,SACRAMENTO CO CA to ALAMEDA CA,06001,06067,1
SOLEDAD CA,SAN JOSE CA,SOLEDAD CA to SAN JOSE CA,06085,06053,1
ALAMEDA CA,STOCKTON CA,ALAMEDA CA to STOCKTON CA,06077,06001,1
PACIFICA CA,STOCKTON CA,PACIFICA CA to STOCKTON CA,06077,06081,1
ANTIOCH CA,ROHNERT PARK CA,ANTIOCH CA to ROHNERT PARK CA,06097,06013,1
MODESTO CA,HAYWARD CA,MODESTO CA to HAYWARD CA,06001,06099,3
SAN RAFAEL CA,STOCKTON CA,SAN RAFAEL CA to STOCKTON CA,06077,06041,1
SACRAMENTO CO CA,EMERYVILLE CA,SACRAMENTO CO CA to EMERYVILLE CA,06001,06067,1
ROHNERT PARK CA,SACRAMENTO CA,ROHNERT PARK CA to SACRAMENTO CA,06067,06097,1
SACRAMENTO CA,EMERYVILLE CA,SACRAMENTO CA to EMERYVILLE CA,06001,06067,1
BARSTOW CA,SAN BERNARDINO CA,BARSTOW CA to SAN BERNARDINO CA,06071,06071,2
SAN BERNARDINO CO CA,LONG BEACH CA,SAN BERNARDINO CO CA to LONG BEACH CA,06037,06071,5
STOCKTON CA,NEWARK CA,STOCKTON CA to NEWARK CA,06001,06077,1
LONG BEACH CA,SAN BERNARDINO CA,LONG BEACH CA to SAN BERNARDINO CA,06071,06037,3
STOCKTON CA,NAPA CA,STOCKTON CA to NAPA CA,06055,06077,1
COLUSA CO CA,SACRAMENTO CA,COLUSA CO CA to SACRAMENTO CA,06067,06011,1
EL SEGUNDO CA,SAN BERNARDINO CA,EL SEGUNDO CA to SAN BERNARDINO CA,06071,06037,1
NAPA CA,ELK GROVE CA,NAPA CA to ELK GROVE CA,06067,06055,1
SAN JOSE CA,ANTIOCH CA,SAN JOSE CA to ANTIOCH CA,06013,06085,1
MARTINEZ CA,SACRAMENTO CA,MARTINEZ CA to SACRAMENTO CA,06067,06013,1
RICHMOND CA,SACRAMENTO CA,RICHMOND CA to SACRAMENTO CA,06067,06013,1
STOCKTON CA,SAN JOSE CA,STOCKTON CA to SAN JOSE CA,06085,06077,4
OROVILLE CA,SACRAMENTO CA,OROVILLE CA to SACRAMENTO CA,06067,06007,1
LOS ANGELES CA,SAN BERNARDINO CA,LOS ANGELES CA to SAN BERNARDINO CA,06071,06037,3
MARINA CA,SAN JOSE CA,MARINA CA to SAN JOSE CA,06085,06053,1
